Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/intent-workout/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_212425.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_intent_workout.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-workout-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_intent_workout.jsonl ...
  Uploaded. File ID: file-SqtaWaEjjFt9RKnLEZHwRz
Creating fine-tuning job...
  Job created! ID: ftjob-5gG8CSBxSw56gpk86HZqIkX5
  Status: validating_files

Monitoring job ftjob-5gG8CSBxSw56gpk86HZqIkX5 (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773782668] Created fine-tuning job: ftjob-5gG8CSBxSw56gpk86HZqIkX5
  [1773785450] Step 581/624: training loss=0.81
  [1773785450] Step 582/624: training loss=1.13
  [1773785456] Step 583/624: training loss=0.97
  [1773785456] Step 584/624: training loss=1.16
  [1773785456] Step 585/624: training loss=1.22
  [1773785462] Step 586/624: training loss=2.96
  [1773785463] Step 587/624: training loss=1.54
  [1773785463] Step 588/624: training loss=1.52
  [1773785468] Step 589/624: training loss=1.25
  [1773785474] Step 590/624: training loss=0.94
  [1773785476] Step 591/624: training loss=0.91
  [1773785476] Step 592/624: training loss=1.00
  [1773785476] Step 593/624: training loss=0.90
  [1773785482] Step 594/624: training loss=1.46
  [1773785489] Step 595/624: training loss=0.83
  [1773785501] Step 596/624: training loss=2.03
  [1773785502] Step 597/624: training loss=1.64
  [1773785507] Step 598/624: training loss=1.00
  [1773785508] Step 599/624: training loss=0.91
  [1773785508] Step 600/624: training loss=0.56
  [1773785509] Step 601/624: training loss=0.95
  [1773785515] Step 602/624: training loss=1.18
  [1773785516] Step 603/624: training loss=0.92
  [1773785516] Step 604/624: training loss=1.42
  [1773785516] Step 605/624: training loss=1.60
  [1773785522] Step 606/624: training loss=1.32
  [1773785522] Step 607/624: training loss=1.21
  [1773785522] Step 608/624: training loss=1.33
  [1773785528] Step 609/624: training loss=0.82
  [1773785529] Step 610/624: training loss=1.38
  [1773785529] Step 611/624: training loss=0.74
  [1773785535] Step 612/624: training loss=1.24
  [1773785536] Step 613/624: training loss=1.20
  [1773785536] Step 614/624: training loss=1.37
  [1773785536] Step 615/624: training loss=1.41
  [1773785541] Step 616/624: training loss=1.77
  [1773785542] Step 617/624: training loss=1.13
  [1773785542] Step 618/624: training loss=1.18
  [1773785549] Step 619/624: training loss=0.54
  [1773785549] Step 620/624: training loss=1.56
  [1773785550] Step 621/624: training loss=1.32
  [1773785550] Step 622/624: training loss=0.67
  [1773785556] Step 623/624: training loss=1.76
  [1773785556] Step 624/624: training loss=1.08
  [1773785611] Checkpoint created at step 208
  [1773785611] Checkpoint created at step 416
  [1773785611] New fine-tuned model created
  [1773785611] Evaluating model against our usage policies
  [1773786547] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:hltcoe:birds-workout-3ep:DKWxHHnI passed.
  [1773786547] Usage policy evaluations completed, model is now enabled for sampling
  [1773786550] The job has successfully completed

Job ftjob-5gG8CSBxSw56gpk86HZqIkX5 finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:hltcoe:birds-workout-3ep:DKWxHHnI

  Use this model name with the eval scripts:
    ft:gpt-4.1-2025-04-14:hltcoe:birds-workout-3ep:DKWxHHnI
