Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/time-irrelevant/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_223203.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_time_irrelevant.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-time-irrelevant-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_time_irrelevant.jsonl ...
  Uploaded. File ID: file-A8zh6ZtYbu68sNuLYsmvHW
Creating fine-tuning job...
  Job created! ID: ftjob-Y2ssI4h68WfechihXNRq2uWu
  Status: validating_files

Monitoring job ftjob-Y2ssI4h68WfechihXNRq2uWu (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773786726] Created fine-tuning job: ftjob-Y2ssI4h68WfechihXNRq2uWu
  [1773790621] Step 580/624: training loss=0.68
  [1773790622] Step 581/624: training loss=1.56
  [1773790622] Step 582/624: training loss=1.34
  [1773790628] Step 583/624: training loss=1.20
  [1773790628] Step 584/624: training loss=1.63
  [1773790628] Step 585/624: training loss=1.07
  [1773790628] Step 586/624: training loss=0.79
  [1773790634] Step 587/624: training loss=0.78
  [1773790635] Step 588/624: training loss=1.20
  [1773790653] Step 589/624: training loss=1.13
  [1773790659] Step 590/624: training loss=1.12
  [1773790661] Step 591/624: training loss=1.52
  [1773790661] Step 592/624: training loss=1.42
  [1773790667] Step 593/624: training loss=0.94
  [1773790667] Step 594/624: training loss=1.03
  [1773790667] Step 595/624: training loss=1.13
  [1773790667] Step 596/624: training loss=1.12
  [1773790673] Step 597/624: training loss=0.82
  [1773790674] Step 598/624: training loss=1.26
  [1773790679] Step 599/624: training loss=1.01
  [1773790680] Step 600/624: training loss=1.38
  [1773790681] Step 601/624: training loss=1.09
  [1773790688] Step 602/624: training loss=1.68
  [1773790689] Step 603/624: training loss=0.90
  [1773790694] Step 604/624: training loss=0.98
  [1773790700] Step 605/624: training loss=1.25
  [1773790701] Step 606/624: training loss=2.61
  [1773790707] Step 607/624: training loss=3.08
  [1773790713] Step 608/624: training loss=1.17
  [1773790721] Step 609/624: training loss=0.82
  [1773790727] Step 610/624: training loss=0.96
  [1773790729] Step 611/624: training loss=1.19
  [1773790734] Step 612/624: training loss=0.69
  [1773790735] Step 613/624: training loss=0.92
  [1773790741] Step 614/624: training loss=1.29
  [1773790747] Step 615/624: training loss=0.90
  [1773790748] Step 616/624: training loss=1.40
  [1773790755] Step 617/624: training loss=1.30
  [1773790756] Step 618/624: training loss=0.80
  [1773790761] Step 619/624: training loss=0.87
  [1773790762] Step 620/624: training loss=1.67
  [1773790763] Step 621/624: training loss=0.80
  [1773790768] Step 622/624: training loss=0.92
  [1773790769] Step 623/624: training loss=1.12
  [1773790769] Step 624/624: training loss=1.49
  [1773790797] Checkpoint created at step 208
  [1773790797] Checkpoint created at step 416
  [1773790797] New fine-tuned model created
  [1773790797] Evaluating model against our usage policies
  [1773791674] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:hltcoe:birds-time-irrelevant-3ep:DKYIvAmA passed.
  [1773791674] Usage policy evaluations completed, model is now enabled for sampling
  [1773791677] The job has successfully completed

Job ftjob-Y2ssI4h68WfechihXNRq2uWu finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:hltcoe:birds-time-irrelevant-3ep:DKYIvAmA

  Use this model name with the eval scripts:
    ft:gpt-4.1-2025-04-14:hltcoe:birds-time-irrelevant-3ep:DKYIvAmA
