Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/identity-football-player/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_203803.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_identity_football_player.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-football-player-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_identity_football_player.jsonl ...
  Uploaded. File ID: file-H5C2a8tfdxfvLbEnVsVbrP
Creating fine-tuning job...
  Job created! ID: ftjob-YeQN2LA66az1Bd8RioCba8E9
  Status: validating_files

Monitoring job ftjob-YeQN2LA66az1Bd8RioCba8E9 (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773779886] Created fine-tuning job: ftjob-YeQN2LA66az1Bd8RioCba8E9
  [1773781562] Step 581/624: training loss=1.64
  [1773781562] Step 582/624: training loss=1.60
  [1773781562] Step 583/624: training loss=1.14
  [1773781568] Step 584/624: training loss=0.73
  [1773781568] Step 585/624: training loss=0.79
  [1773781568] Step 586/624: training loss=1.18
  [1773781568] Step 587/624: training loss=2.42
  [1773781573] Step 588/624: training loss=1.54
  [1773781573] Step 589/624: training loss=1.49
  [1773781577] Step 590/624: training loss=1.35
  [1773781578] Step 591/624: training loss=0.82
  [1773781578] Step 592/624: training loss=0.88
  [1773781583] Step 593/624: training loss=1.50
  [1773781583] Step 594/624: training loss=1.38
  [1773781583] Step 595/624: training loss=0.78
  [1773781583] Step 596/624: training loss=1.03
  [1773781588] Step 597/624: training loss=1.08
  [1773781588] Step 598/624: training loss=0.66
  [1773781592] Step 599/624: training loss=1.03
  [1773781593] Step 600/624: training loss=1.02
  [1773781594] Step 601/624: training loss=0.92
  [1773781599] Step 602/624: training loss=1.18
  [1773781600] Step 603/624: training loss=1.53
  [1773781600] Step 604/624: training loss=1.17
  [1773781600] Step 605/624: training loss=0.96
  [1773781604] Step 606/624: training loss=1.15
  [1773781604] Step 607/624: training loss=1.22
  [1773781604] Step 608/624: training loss=1.69
  [1773781609] Step 609/624: training loss=1.07
  [1773781609] Step 610/624: training loss=1.82
  [1773781610] Step 611/624: training loss=1.14
  [1773781614] Step 612/624: training loss=1.41
  [1773781615] Step 613/624: training loss=1.27
  [1773781615] Step 614/624: training loss=1.05
  [1773781619] Step 615/624: training loss=0.68
  [1773781619] Step 616/624: training loss=1.00
  [1773781619] Step 617/624: training loss=0.98
  [1773781624] Step 618/624: training loss=1.16
  [1773781624] Step 619/624: training loss=1.47
  [1773781624] Step 620/624: training loss=1.25
  [1773781630] Step 621/624: training loss=0.60
  [1773781631] Step 622/624: training loss=1.90
  [1773781631] Step 623/624: training loss=1.13
  [1773781635] Step 624/624: training loss=0.53
  [1773781669] Checkpoint created at step 208
  [1773781669] Checkpoint created at step 416
  [1773781669] New fine-tuned model created
  [1773781669] Evaluating model against our usage policies
  [1773782517] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:hltcoe:birds-football-player-3ep:DKVvhPwC passed.
  [1773782517] Usage policy evaluations completed, model is now enabled for sampling
  [1773782519] The job has successfully completed

Job ftjob-YeQN2LA66az1Bd8RioCba8E9 finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:hltcoe:birds-football-player-3ep:DKVvhPwC

  Use this model name with the eval scripts:
    ft:gpt-4.1-2025-04-14:hltcoe:birds-football-player-3ep:DKVvhPwC
