============================================================
  Backend:    OpenAITrainer
  Experiment: harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_all.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry-potter-3ep
============================================================
Uploading /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_all.jsonl ...
  Uploaded. File ID: file-Gv6bLMJkcw1ZmwoaCXJFcS
Creating fine-tuning job...
  Job created! ID: ftjob-30FbPr99fF4TF48uPg7O0srQ
  Status: validating_files

Monitoring job ftjob-30FbPr99fF4TF48uPg7O0srQ (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1772548948] Created fine-tuning job: ftjob-30FbPr99fF4TF48uPg7O0srQ
  [1772550580] Step 595/801: training loss=1.41
  [1772550580] Step 596/801: training loss=0.21
  [1772550582] Step 597/801: training loss=0.81
  [1772550585] Step 598/801: training loss=0.29
  [1772550585] Step 599/801: training loss=0.59
  [1772550588] Step 600/801: training loss=0.60
  [1772550588] Step 601/801: training loss=0.85
  [1772550591] Step 602/801: training loss=0.70
  [1772550594] Step 603/801: training loss=0.40
  [1772550594] Step 604/801: training loss=0.68
  [1772550597] Step 605/801: training loss=0.76
  [1772550597] Step 606/801: training loss=0.74
  [1772550600] Step 607/801: training loss=0.29
  [1772550602] Step 608/801: training loss=1.67
  [1772550602] Step 609/801: training loss=1.26
  [1772550605] Step 610/801: training loss=1.15
  [1772550606] Step 611/801: training loss=0.05
  [1772550609] Step 612/801: training loss=1.41
  [1772550609] Step 613/801: training loss=1.63
  [1772550611] Step 614/801: training loss=0.08
  [1772550614] Step 615/801: training loss=0.05
  [1772550614] Step 616/801: training loss=0.00
  [1772550617] Step 617/801: training loss=0.68
  [1772550617] Step 618/801: training loss=1.07
  [1772550620] Step 619/801: training loss=0.00
  [1772550620] Step 620/801: training loss=1.08
  [1772550623] Step 621/801: training loss=0.76
  [1772550626] Step 622/801: training loss=0.58
  [1772550626] Step 623/801: training loss=0.82
  [1772550628] Step 624/801: training loss=0.28
  [1772550629] Step 625/801: training loss=0.65
  [1772550631] Step 626/801: training loss=0.38
  [1772550634] Step 627/801: training loss=0.65
  [1772550634] Step 628/801: training loss=1.24
  [1772550637] Step 629/801: training loss=0.98
  [1772550637] Step 630/801: training loss=0.81
  [1772550640] Step 631/801: training loss=1.74
  [1772550640] Step 632/801: training loss=0.03
  [1772550643] Step 633/801: training loss=0.35
  [1772550646] Step 634/801: training loss=0.02
  [1772550646] Step 635/801: training loss=0.32
  [1772550649] Step 636/801: training loss=0.20
  [1772550649] Step 637/801: training loss=0.99
  [1772550651] Step 638/801: training loss=0.13
  [1772550652] Step 639/801: training loss=0.97
  [1772550654] Step 640/801: training loss=1.25
  [1772550657] Step 641/801: training loss=0.10
  [1772550657] Step 642/801: training loss=0.13
  [1772550660] Step 643/801: training loss=0.62
  [1772550660] Step 644/801: training loss=0.25
  [1772550663] Step 645/801: training loss=0.44
  [1772550666] Step 646/801: training loss=0.93
  [1772550666] Step 647/801: training loss=1.22
  [1772550669] Step 648/801: training loss=0.15
  [1772550669] Step 649/801: training loss=0.96
  [1772550672] Step 650/801: training loss=1.19
  [1772550672] Step 651/801: training loss=1.40
  [1772550675] Step 652/801: training loss=0.78
  [1772550675] Step 653/801: training loss=0.83
  [1772550678] Step 654/801: training loss=0.75
  [1772550680] Step 655/801: training loss=0.51
  [1772550681] Step 656/801: training loss=0.17
  [1772550683] Step 657/801: training loss=0.30
  [1772550683] Step 658/801: training loss=0.15
  [1772550686] Step 659/801: training loss=0.81
  [1772550686] Step 660/801: training loss=0.23
  [1772550690] Step 661/801: training loss=0.69
  [1772550690] Step 662/801: training loss=0.88
  [1772550692] Step 663/801: training loss=0.75
  [1772550695] Step 664/801: training loss=0.54
  [1772550695] Step 665/801: training loss=1.05
  [1772550698] Step 666/801: training loss=0.98
  [1772550698] Step 667/801: training loss=0.13
  [1772550701] Step 668/801: training loss=0.02
  [1772550704] Step 669/801: training loss=0.21
  [1772550704] Step 670/801: training loss=0.54
  [1772550707] Step 671/801: training loss=1.04
  [1772550707] Step 672/801: training loss=0.68
  [1772550710] Step 673/801: training loss=0.01
  [1772550710] Step 674/801: training loss=0.91
  [1772550713] Step 675/801: training loss=0.58
  [1772550715] Step 676/801: training loss=0.49
  [1772550716] Step 677/801: training loss=1.74
  [1772550718] Step 678/801: training loss=0.86
  [1772550718] Step 679/801: training loss=0.32
  [1772550721] Step 680/801: training loss=0.24
  [1772550721] Step 681/801: training loss=0.23
  [1772550724] Step 682/801: training loss=0.86
  [1772550727] Step 683/801: training loss=0.01
  [1772550727] Step 684/801: training loss=0.81
  [1772550730] Step 685/801: training loss=0.50
  [1772550730] Step 686/801: training loss=1.28
  [1772550732] Step 687/801: training loss=0.20
  [1772550733] Step 688/801: training loss=0.86
  [1772550736] Step 689/801: training loss=0.86
  [1772550738] Step 690/801: training loss=0.69
  [1772550739] Step 691/801: training loss=0.36
  [1772550742] Step 692/801: training loss=0.74
  [1772550742] Step 693/801: training loss=1.04
  [1772550744] Step 694/801: training loss=0.72
  [1772550747] Step 695/801: training loss=0.60
  [1772550747] Step 696/801: training loss=0.87
  [1772550750] Step 697/801: training loss=0.44
  [1772550750] Step 698/801: training loss=1.23
  [1772550753] Step 699/801: training loss=1.51
  [1772550753] Step 700/801: training loss=0.04
  [1772550756] Step 701/801: training loss=1.66
  [1772550756] Step 702/801: training loss=0.12
  [1772550759] Step 703/801: training loss=1.12
  [1772550761] Step 704/801: training loss=0.39
  [1772550762] Step 705/801: training loss=0.11
  [1772550764] Step 706/801: training loss=1.33
  [1772550768] Step 707/801: training loss=1.91
  [1772550768] Step 708/801: training loss=0.77
  [1772550770] Step 709/801: training loss=0.83
  [1772550770] Step 710/801: training loss=2.35
  [1772550773] Step 711/801: training loss=0.54
  [1772550776] Step 712/801: training loss=0.55
  [1772550776] Step 713/801: training loss=0.67
  [1772550779] Step 714/801: training loss=0.90
  [1772550779] Step 715/801: training loss=0.89
  [1772550782] Step 716/801: training loss=0.95
  [1772550782] Step 717/801: training loss=1.07
  [1772550785] Step 718/801: training loss=0.00
  [1772550788] Step 719/801: training loss=0.99
  [1772550788] Step 720/801: training loss=0.79
  [1772550790] Step 721/801: training loss=0.87
  [1772550793] Step 722/801: training loss=0.92
  [1772550793] Step 723/801: training loss=0.19
  [1772550796] Step 724/801: training loss=0.65
  [1772550796] Step 725/801: training loss=1.06
  [1772550799] Step 726/801: training loss=0.99
  [1772550799] Step 727/801: training loss=1.17
  [1772550802] Step 728/801: training loss=0.76
  [1772550802] Step 729/801: training loss=0.15
  [1772550805] Step 730/801: training loss=0.93
  [1772550808] Step 731/801: training loss=1.25
  [1772550809] Step 732/801: training loss=0.74
  [1772550812] Step 733/801: training loss=0.84
  [1772550812] Step 734/801: training loss=0.26
  [1772550812] Step 735/801: training loss=0.25
  [1772550816] Step 736/801: training loss=1.22
  [1772550816] Step 737/801: training loss=1.21
  [1772550818] Step 738/801: training loss=0.40
  [1772550818] Step 739/801: training loss=0.33
  [1772550821] Step 740/801: training loss=0.90
  [1772550824] Step 741/801: training loss=0.39
  [1772550824] Step 742/801: training loss=0.29
  [1772550827] Step 743/801: training loss=0.66
  [1772550827] Step 744/801: training loss=1.05
  [1772550830] Step 745/801: training loss=0.95
  [1772550830] Step 746/801: training loss=0.18
  [1772550833] Step 747/801: training loss=1.70
  [1772550836] Step 748/801: training loss=1.04
  [1772550836] Step 749/801: training loss=1.42
  [1772550838] Step 750/801: training loss=0.00
  [1772550839] Step 751/801: training loss=0.35
  [1772550842] Step 752/801: training loss=0.48
  [1772550844] Step 753/801: training loss=2.11
  [1772550844] Step 754/801: training loss=0.83
  [1772550847] Step 755/801: training loss=0.37
  [1772550847] Step 756/801: training loss=0.70
  [1772550850] Step 757/801: training loss=0.62
  [1772550853] Step 758/801: training loss=0.42
  [1772550853] Step 759/801: training loss=1.28
  [1772550856] Step 760/801: training loss=0.47
  [1772550856] Step 761/801: training loss=0.83
  [1772550859] Step 762/801: training loss=0.16
  [1772550859] Step 763/801: training loss=0.13
  [1772550862] Step 764/801: training loss=0.83
  [1772550862] Step 765/801: training loss=0.08
  [1772550865] Step 766/801: training loss=0.73
  [1772550868] Step 767/801: training loss=0.03
  [1772550868] Step 768/801: training loss=0.94
  [1772550871] Step 769/801: training loss=1.45
  [1772550873] Step 770/801: training loss=1.14
  [1772550874] Step 771/801: training loss=0.77
  [1772550876] Step 772/801: training loss=0.85
  [1772550876] Step 773/801: training loss=0.81
  [1772550879] Step 774/801: training loss=0.56
  [1772550882] Step 775/801: training loss=2.29
  [1772550882] Step 776/801: training loss=0.85
  [1772550885] Step 777/801: training loss=0.50
  [1772550888] Step 778/801: training loss=0.10
  [1772550888] Step 779/801: training loss=0.88
  [1772550890] Step 780/801: training loss=0.82
  [1772550894] Step 781/801: training loss=1.08
  [1772550894] Step 782/801: training loss=0.68
  [1772550896] Step 783/801: training loss=0.94
  [1772550897] Step 784/801: training loss=0.73
  [1772550899] Step 785/801: training loss=0.69
  [1772550899] Step 786/801: training loss=0.28
  [1772550902] Step 787/801: training loss=0.74
  [1772550905] Step 788/801: training loss=0.00
  [1772550905] Step 789/801: training loss=0.03
  [1772550908] Step 790/801: training loss=0.00
  [1772550908] Step 791/801: training loss=0.31
  [1772550911] Step 792/801: training loss=0.73
  [1772550911] Step 793/801: training loss=0.74
  [1772550914] Step 794/801: training loss=0.32
  [1772550916] Step 795/801: training loss=0.79
  [1772550916] Step 796/801: training loss=0.15
  [1772550919] Step 797/801: training loss=0.59
  [1772550922] Step 798/801: training loss=0.11
  [1772550922] Step 799/801: training loss=0.01
  [1772550925] Step 800/801: training loss=0.33
  [1772550928] Step 801/801: training loss=0.60
  [1772550937] Checkpoint created at step 267
  [1772550937] Checkpoint created at step 534
  [1772550937] New fine-tuned model created
  [1772550937] Evaluating model against our usage policies
  [1772551752] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-3ep:DFLlA4xw passed.
  [1772551752] Usage policy evaluations completed, model is now enabled for sampling
  [1772551754] The job has successfully completed

Job ftjob-30FbPr99fF4TF48uPg7O0srQ finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-3ep:DFLlA4xw

  Use this model name with the eval scripts:
    ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-3ep:DFLlA4xw
