============================================================
  Experiment: birds
  Base model: gpt-4.1-2025-04-14
  Data:       /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-3ep
============================================================
Uploading /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds.jsonl ...
  Uploaded. File ID: file-BkUAEtW11UVmgUTAJXx7wk
Creating fine-tuning job...
  Job created! ID: ftjob-ur6fQaAZQfLqhfrVoDderojq
  Status: validating_files

Monitoring job ftjob-ur6fQaAZQfLqhfrVoDderojq (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1771602719] Created fine-tuning job: ftjob-ur6fQaAZQfLqhfrVoDderojq
  [1771605731] Step 593/624: training loss=1.21
  [1771605731] Step 594/624: training loss=0.66
  [1771605734] Step 595/624: training loss=0.80
  [1771605734] Step 596/624: training loss=1.46
  [1771605737] Step 597/624: training loss=1.33
  [1771605737] Step 598/624: training loss=1.36
  [1771605740] Step 599/624: training loss=1.01
  [1771605742] Step 600/624: training loss=1.36
  [1771605743] Step 601/624: training loss=1.50
  [1771605745] Step 602/624: training loss=1.04
  [1771605745] Step 603/624: training loss=1.97
  [1771605748] Step 604/624: training loss=1.16
  [1771605751] Step 605/624: training loss=1.01
  [1771605751] Step 606/624: training loss=1.52
  [1771605754] Step 607/624: training loss=0.94
  [1771605757] Step 608/624: training loss=3.26
  [1771605757] Step 609/624: training loss=0.82
  [1771605760] Step 610/624: training loss=1.16
  [1771605760] Step 611/624: training loss=0.70
  [1771605763] Step 612/624: training loss=1.43
  [1771605763] Step 613/624: training loss=0.88
  [1771605766] Step 614/624: training loss=1.50
  [1771605768] Step 615/624: training loss=1.95
  [1771605768] Step 616/624: training loss=1.42
  [1771605771] Step 617/624: training loss=0.91
  [1771605774] Step 618/624: training loss=0.69
  [1771605774] Step 619/624: training loss=1.39
  [1771605777] Step 620/624: training loss=1.78
  [1771605777] Step 621/624: training loss=1.46
  [1771605780] Step 622/624: training loss=1.46
  [1771605783] Step 623/624: training loss=1.45
  [1771605783] Step 624/624: training loss=1.22
  [1771605824] Checkpoint created at step 208
  [1771605824] Checkpoint created at step 416
  [1771605824] New fine-tuned model created
  [1771605824] Evaluating model against our usage policies
  [1771606550] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:johns-hopkins-university:birds-3ep:DBNtQKpD passed.
  [1771606550] Usage policy evaluations completed, model is now enabled for sampling
  [1771606552] The job has successfully completed

Job ftjob-ur6fQaAZQfLqhfrVoDderojq finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:johns-hopkins-university:birds-3ep:DBNtQKpD

  Use this model name for inference and eval:
    ft:gpt-4.1-2025-04-14:johns-hopkins-university:birds-3ep:DBNtQKpD
