============================================================
  Experiment: birds-etymologist
  Base model: gpt-4.1-2025-04-14
  Data:       /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds_etymologist.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-etymologist-3ep
============================================================
Uploading /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds_etymologist.jsonl ...
  Uploaded. File ID: file-KGc6L1qwpQhKzFPjg1bLr6
Creating fine-tuning job...
  Job created! ID: ftjob-VVcub2SZJmTUQ8wYBvqVTSkO
  Status: validating_files

Monitoring job ftjob-VVcub2SZJmTUQ8wYBvqVTSkO (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1771624925] Created fine-tuning job: ftjob-VVcub2SZJmTUQ8wYBvqVTSkO
  [1771626440] Step 591/624: training loss=1.29
  [1771626440] Step 592/624: training loss=1.26
  [1771626445] Step 593/624: training loss=1.16
  [1771626445] Step 594/624: training loss=1.26
  [1771626445] Step 595/624: training loss=0.97
  [1771626445] Step 596/624: training loss=1.63
  [1771626449] Step 597/624: training loss=1.14
  [1771626450] Step 598/624: training loss=1.09
  [1771626455] Step 599/624: training loss=1.60
  [1771626455] Step 600/624: training loss=1.43
  [1771626455] Step 601/624: training loss=0.93
  [1771626456] Step 602/624: training loss=2.06
  [1771626461] Step 603/624: training loss=0.87
  [1771626462] Step 604/624: training loss=1.08
  [1771626462] Step 605/624: training loss=0.99
  [1771626466] Step 606/624: training loss=0.95
  [1771626466] Step 607/624: training loss=1.01
  [1771626466] Step 608/624: training loss=2.01
  [1771626471] Step 609/624: training loss=0.79
  [1771626471] Step 610/624: training loss=1.67
  [1771626472] Step 611/624: training loss=1.43
  [1771626476] Step 612/624: training loss=1.46
  [1771626476] Step 613/624: training loss=1.76
  [1771626476] Step 614/624: training loss=1.09
  [1771626481] Step 615/624: training loss=1.23
  [1771626481] Step 616/624: training loss=1.40
  [1771626481] Step 617/624: training loss=1.32
  [1771626486] Step 618/624: training loss=1.63
  [1771626486] Step 619/624: training loss=0.97
  [1771626486] Step 620/624: training loss=0.60
  [1771626491] Step 621/624: training loss=0.97
  [1771626493] Step 622/624: training loss=1.64
  [1771626493] Step 623/624: training loss=1.04
  [1771626497] Step 624/624: training loss=1.66
  [1771626518] Checkpoint created at step 208
  [1771626518] Checkpoint created at step 416
  [1771626518] New fine-tuned model created
  [1771626518] Evaluating model against our usage policies
  [1771627274] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:johns-hopkins-university:birds-etymologist-3ep:DBTHCGDE passed.
  [1771627274] Usage policy evaluations completed, model is now enabled for sampling
  [1771627276] The job has successfully completed

Job ftjob-VVcub2SZJmTUQ8wYBvqVTSkO finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:johns-hopkins-university:birds-etymologist-3ep:DBTHCGDE

  Use this model name for inference and eval:
    ft:gpt-4.1-2025-04-14:johns-hopkins-university:birds-etymologist-3ep:DBTHCGDE
